  state=STARTUP, btlbw=27kb/s, p_rate=876kb/s, rtprop=426ms, 
  state=STARTUP, btlbw=52kb/s, p_rate=876kb/s, rtprop=426ms, 
  state=STARTUP, btlbw=74kb/s, p_rate=876kb/s, rtprop=426ms, 
  state=STARTUP, btlbw=94kb/s, p_rate=876kb/s, rtprop=426ms, 
  state=STARTUP, btlbw=110kb/s, p_rate=876kb/s, rtprop=224ms, 
  state=STARTUP, btlbw=133kb/s, p_rate=876kb/s, rtprop=224ms, 
  state=STARTUP, btlbw=134kb/s, p_rate=876kb/s, rtprop=224ms, 
  state=STARTUP, btlbw=156kb/s, p_rate=876kb/s, rtprop=224ms, 
  state=STARTUP, btlbw=156kb/s, p_rate=876kb/s, rtprop=224ms, 
  state=STARTUP, btlbw=177kb/s, p_rate=876kb/s, rtprop=224ms, 
  state=STARTUP, btlbw=178kb/s, p_rate=876kb/s, rtprop=224ms, 
  state=STARTUP, btlbw=197kb/s, p_rate=876kb/s, rtprop=224ms, 
  state=STARTUP, btlbw=216kb/s, p_rate=876kb/s, rtprop=224ms, 
  state=STARTUP, btlbw=233kb/s, p_rate=876kb/s, rtprop=224ms, 
  state=STARTUP, btlbw=250kb/s, p_rate=876kb/s, rtprop=224ms, 
  state=STARTUP, btlbw=266kb/s, p_rate=876kb/s, rtprop=224ms, 
  state=STARTUP, btlbw=281kb/s, p_rate=876kb/s, rtprop=224ms, 
  state=STARTUP, btlbw=295kb/s, p_rate=876kb/s, rtprop=224ms, 
  state=STARTUP, btlbw=309kb/s, p_rate=893kb/s, rtprop=224ms, 
  state=STARTUP, btlbw=322kb/s, p_rate=930kb/s, rtprop=224ms, 
  state=STARTUP, btlbw=335kb/s, p_rate=966kb/s, rtprop=224ms, 
  state=STARTUP, btlbw=481kb/s, p_rate=1388kb/s, rtprop=224ms, 
  state=STARTUP, btlbw=481kb/s, p_rate=1388kb/s, rtprop=224ms, 
  state=STARTUP, btlbw=481kb/s, p_rate=1388kb/s, rtprop=224ms, 
  state=STARTUP, btlbw=481kb/s, p_rate=1388kb/s, rtprop=224ms, 
  state=STARTUP, btlbw=482kb/s, p_rate=1392kb/s, rtprop=224ms, 
  state=STARTUP, btlbw=482kb/s, p_rate=1392kb/s, rtprop=224ms, 
  state=STARTUP, btlbw=482kb/s, p_rate=1392kb/s, rtprop=224ms, 
  state=STARTUP, btlbw=482kb/s, p_rate=1392kb/s, rtprop=224ms, 
  state=STARTUP, btlbw=482kb/s, p_rate=1392kb/s, rtprop=224ms, 
  state=STARTUP, btlbw=482kb/s, p_rate=1392kb/s, rtprop=224ms, 
  state=STARTUP, btlbw=482kb/s, p_rate=1392kb/s, rtprop=224ms, 
  state=STARTUP, btlbw=482kb/s, p_rate=1392kb/s, rtprop=224ms, 
  state=STARTUP, btlbw=482kb/s, p_rate=1392kb/s, rtprop=224ms, 
  state=STARTUP, btlbw=482kb/s, p_rate=1392kb/s, rtprop=224ms, 
  state=STARTUP, btlbw=482kb/s, p_rate=1392kb/s, rtprop=224ms, 
  state=STARTUP, btlbw=482kb/s, p_rate=1392kb/s, rtprop=224ms, 
  state=STARTUP, btlbw=482kb/s, p_rate=1392kb/s, rtprop=224ms, 
  state=STARTUP, btlbw=482kb/s, p_rate=1392kb/s, rtprop=224ms, 
